#file for arcs using the same infrastructure in the sense that activities (i,j) and (i_bar, j_bar) occupy the same underlying infrastructure
i,j,i_bar,j_bar
BPLA_781_B-571-1-2-arr-right,BPLA_781_B-571-1-2-dep-right,BPLA_781_B-6-1-1-arr-right,BPLA_781_B-6-1-1-dep-right
BPLA_781_B-571-1-2-arr-right,BPLA_781_B-571-1-2-dep-right,BPLA_781_B-396-1-1-arr-right,BPLA_781_B-396-1-1-dep-right
BPLA_781_B-379-1-1-arr-right,BPLA_781_B-379-1-1-dep-right,BPLA_781_B-6-2-1-arr-right,BPLA_781_B-6-2-1-dep-right
BPLA_781_B-379-1-1-arr-right,BPLA_781_B-379-1-1-dep-right,BPLA_781_B-6-1-1-arr-right,BPLA_781_B-6-1-1-dep-right
BPLA_781_B-379-1-1-arr-right,BPLA_781_B-379-1-1-dep-right,BPLA_781_B-396-1-1-arr-right,BPLA_781_B-396-1-1-dep-right
BPLA_781_B-6-2-1-arr-right,BPLA_781_B-6-2-1-dep-right,BPLA_781_B-6-1-1-arr-right,BPLA_781_B-6-1-1-dep-right
BPLA_781_B-6-2-1-arr-right,BPLA_781_B-6-2-1-dep-right,BPLA_781_B-396-1-1-arr-right,BPLA_781_B-396-1-1-dep-right
BPLA_781_B-6-1-1-arr-right,BPLA_781_B-6-1-1-dep-right,BPLA_781_B-396-1-1-arr-right,BPLA_781_B-396-1-1-dep-right
BGSS_511_B-566-1-1-arr-right,BGSS_511_B-566-1-1-dep-right,BGSS_511_B-379-1-1-arr-right,BGSS_511_B-379-1-1-dep-right
BGSS_511_B-566-1-1-arr-right,BGSS_511_B-566-1-1-dep-right,BGSS_511_B-6-2-1-arr-right,BGSS_511_B-6-2-1-dep-right
BGSS_511_B-566-1-1-arr-right,BGSS_511_B-566-1-1-dep-right,BGSS_511_B-571-1-2-arr-right,BGSS_511_B-571-1-2-dep-right
BGSS_511_B-566-1-1-arr-right,BGSS_511_B-566-1-1-dep-right,BGSS_511_B-396-1-1-arr-right,BGSS_511_B-396-1-1-dep-right
BGSS_511_B-566-1-1-arr-right,BGSS_511_B-566-1-1-dep-right,BGSS_511_B-6-1-1-arr-right,BGSS_511_B-6-1-1-dep-right
BGSS_511_B-379-1-1-arr-right,BGSS_511_B-379-1-1-dep-right,BGSS_511_B-6-2-1-arr-right,BGSS_511_B-6-2-1-dep-right
BGSS_511_B-379-1-1-arr-right,BGSS_511_B-379-1-1-dep-right,BGSS_511_B-571-1-2-arr-right,BGSS_511_B-571-1-2-dep-right
BGSS_511_B-379-1-1-arr-right,BGSS_511_B-379-1-1-dep-right,BGSS_511_B-396-1-1-arr-right,BGSS_511_B-396-1-1-dep-right
BGSS_511_B-379-1-1-arr-right,BGSS_511_B-379-1-1-dep-right,BGSS_511_B-6-1-1-arr-right,BGSS_511_B-6-1-1-dep-right
BGSS_511_B-6-2-1-arr-right,BGSS_511_B-6-2-1-dep-right,BGSS_511_B-571-1-2-arr-right,BGSS_511_B-571-1-2-dep-right
BGSS_511_B-6-2-1-arr-right,BGSS_511_B-6-2-1-dep-right,BGSS_511_B-396-1-1-arr-right,BGSS_511_B-396-1-1-dep-right
BGSS_511_B-6-2-1-arr-right,BGSS_511_B-6-2-1-dep-right,BGSS_511_B-6-1-1-arr-right,BGSS_511_B-6-1-1-dep-right
BGSS_511_B-571-1-2-arr-right,BGSS_511_B-571-1-2-dep-right,BGSS_511_B-396-1-1-arr-right,BGSS_511_B-396-1-1-dep-right
BGSS_511_B-571-1-2-arr-right,BGSS_511_B-571-1-2-dep-right,BGSS_511_B-6-1-1-arr-right,BGSS_511_B-6-1-1-dep-right
BGSS_511_B-396-1-1-arr-right,BGSS_511_B-396-1-1-dep-right,BGSS_511_B-6-1-1-arr-right,BGSS_511_B-6-1-1-dep-right
BLST_531_B-6-1-1-arr-right,BLST_531_B-6-1-1-dep-right,BLST_531_B-379-1-1-arr-right,BLST_531_B-379-1-1-dep-right
BLST_531_B-6-1-1-arr-right,BLST_531_B-6-1-1-dep-right,BLST_531_B-6-2-1-arr-right,BLST_531_B-6-2-1-dep-right
BLST_531_B-6-1-1-arr-right,BLST_531_B-6-1-1-dep-right,BLST_531_B-396-1-1-arr-right,BLST_531_B-396-1-1-dep-right
BLST_531_B-6-1-1-arr-right,BLST_531_B-6-1-1-dep-right,BLST_531_B-566-1-1-arr-right,BLST_531_B-566-1-1-dep-right
BLST_531_B-6-1-1-arr-right,BLST_531_B-6-1-1-dep-right,BLST_531_B-571-1-2-arr-right,BLST_531_B-571-1-2-dep-right
BLST_531_B-379-1-1-arr-right,BLST_531_B-379-1-1-dep-right,BLST_531_B-6-2-1-arr-right,BLST_531_B-6-2-1-dep-right
BLST_531_B-379-1-1-arr-right,BLST_531_B-379-1-1-dep-right,BLST_531_B-396-1-1-arr-right,BLST_531_B-396-1-1-dep-right
BLST_531_B-379-1-1-arr-right,BLST_531_B-379-1-1-dep-right,BLST_531_B-566-1-1-arr-right,BLST_531_B-566-1-1-dep-right
BLST_531_B-379-1-1-arr-right,BLST_531_B-379-1-1-dep-right,BLST_531_B-571-1-2-arr-right,BLST_531_B-571-1-2-dep-right
BLST_531_B-6-2-1-arr-right,BLST_531_B-6-2-1-dep-right,BLST_531_B-396-1-1-arr-right,BLST_531_B-396-1-1-dep-right
BLST_531_B-6-2-1-arr-right,BLST_531_B-6-2-1-dep-right,BLST_531_B-566-1-1-arr-right,BLST_531_B-566-1-1-dep-right
BLST_531_B-6-2-1-arr-right,BLST_531_B-6-2-1-dep-right,BLST_531_B-571-1-2-arr-right,BLST_531_B-571-1-2-dep-right
BLST_531_B-396-1-1-arr-right,BLST_531_B-396-1-1-dep-right,BLST_531_B-566-1-1-arr-right,BLST_531_B-566-1-1-dep-right
BLST_531_B-396-1-1-arr-right,BLST_531_B-396-1-1-dep-right,BLST_531_B-571-1-2-arr-right,BLST_531_B-571-1-2-dep-right
BLST_531_B-566-1-1-arr-right,BLST_531_B-566-1-1-dep-right,BLST_531_B-571-1-2-arr-right,BLST_531_B-571-1-2-dep-right
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-7-1-1-arr-right,BLST_532_B-7-1-1-dep-right,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-571-1-1-arr-right,BLST_532_B-571-1-1-dep-right,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-6-2-1-arr-left,BLST_532_B-6-2-1-dep-left,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-396-1-1-arr-left,BLST_532_B-396-1-1-dep-left,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-379-1-1-arr-left,BLST_532_B-379-1-1-dep-left,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right,BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left
BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-7-2-1-arr-right,BLST_532_B-7-2-1-dep-right,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left,BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left
BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-566-1-1-arr-left,BLST_532_B-566-1-1-dep-left,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left,BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left
BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-571-1-2-arr-left,BLST_532_B-571-1-2-dep-left,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left,BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right
BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-6-1-1-arr-left,BLST_532_B-6-1-1-dep-left,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right,BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right
BLST_532_B-379-1-2-arr-right,BLST_532_B-379-1-2-dep-right,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BLST_532_B-566-1-2-arr-right,BLST_532_B-566-1-2-dep-right,BLST_532_B-396-1-2-arr-right,BLST_532_B-396-1-2-dep-right
BSTO_541_B-6-1-1-arr-right,BSTO_541_B-6-1-1-dep-right,BSTO_541_B-571-1-2-arr-right,BSTO_541_B-571-1-2-dep-right
BSTO_541_B-6-1-1-arr-right,BSTO_541_B-6-1-1-dep-right,BSTO_541_B-396-1-1-arr-right,BSTO_541_B-396-1-1-dep-right
BSTO_541_B-6-1-1-arr-right,BSTO_541_B-6-1-1-dep-right,BSTO_541_B-379-1-1-arr-right,BSTO_541_B-379-1-1-dep-right
BSTO_541_B-6-1-1-arr-right,BSTO_541_B-6-1-1-dep-right,BSTO_541_B-566-1-1-arr-right,BSTO_541_B-566-1-1-dep-right
BSTO_541_B-6-1-1-arr-right,BSTO_541_B-6-1-1-dep-right,BSTO_541_B-6-2-1-arr-right,BSTO_541_B-6-2-1-dep-right
BSTO_541_B-571-1-2-arr-right,BSTO_541_B-571-1-2-dep-right,BSTO_541_B-396-1-1-arr-right,BSTO_541_B-396-1-1-dep-right
BSTO_541_B-571-1-2-arr-right,BSTO_541_B-571-1-2-dep-right,BSTO_541_B-379-1-1-arr-right,BSTO_541_B-379-1-1-dep-right
BSTO_541_B-571-1-2-arr-right,BSTO_541_B-571-1-2-dep-right,BSTO_541_B-566-1-1-arr-right,BSTO_541_B-566-1-1-dep-right
BSTO_541_B-571-1-2-arr-right,BSTO_541_B-571-1-2-dep-right,BSTO_541_B-6-2-1-arr-right,BSTO_541_B-6-2-1-dep-right
BSTO_541_B-396-1-1-arr-right,BSTO_541_B-396-1-1-dep-right,BSTO_541_B-379-1-1-arr-right,BSTO_541_B-379-1-1-dep-right
BSTO_541_B-396-1-1-arr-right,BSTO_541_B-396-1-1-dep-right,BSTO_541_B-566-1-1-arr-right,BSTO_541_B-566-1-1-dep-right
BSTO_541_B-396-1-1-arr-right,BSTO_541_B-396-1-1-dep-right,BSTO_541_B-6-2-1-arr-right,BSTO_541_B-6-2-1-dep-right
BSTO_541_B-379-1-1-arr-right,BSTO_541_B-379-1-1-dep-right,BSTO_541_B-566-1-1-arr-right,BSTO_541_B-566-1-1-dep-right
BSTO_541_B-379-1-1-arr-right,BSTO_541_B-379-1-1-dep-right,BSTO_541_B-6-2-1-arr-right,BSTO_541_B-6-2-1-dep-right
BSTO_541_B-566-1-1-arr-right,BSTO_541_B-566-1-1-dep-right,BSTO_541_B-6-2-1-arr-right,BSTO_541_B-6-2-1-dep-right
BFA_541_B-566-1-1-arr-right,BFA_541_B-566-1-1-dep-right,BFA_541_B-379-1-1-arr-right,BFA_541_B-379-1-1-dep-right
BFA_541_B-566-1-1-arr-right,BFA_541_B-566-1-1-dep-right,BFA_541_B-6-1-1-arr-right,BFA_541_B-6-1-1-dep-right
BFA_541_B-566-1-1-arr-right,BFA_541_B-566-1-1-dep-right,BFA_541_B-571-1-2-arr-right,BFA_541_B-571-1-2-dep-right
BFA_541_B-566-1-1-arr-right,BFA_541_B-566-1-1-dep-right,BFA_541_B-396-1-1-arr-right,BFA_541_B-396-1-1-dep-right
BFA_541_B-566-1-1-arr-right,BFA_541_B-566-1-1-dep-right,BFA_541_B-6-2-1-arr-right,BFA_541_B-6-2-1-dep-right
BFA_541_B-379-1-1-arr-right,BFA_541_B-379-1-1-dep-right,BFA_541_B-6-1-1-arr-right,BFA_541_B-6-1-1-dep-right
BFA_541_B-379-1-1-arr-right,BFA_541_B-379-1-1-dep-right,BFA_541_B-571-1-2-arr-right,BFA_541_B-571-1-2-dep-right
BFA_541_B-379-1-1-arr-right,BFA_541_B-379-1-1-dep-right,BFA_541_B-396-1-1-arr-right,BFA_541_B-396-1-1-dep-right
BFA_541_B-379-1-1-arr-right,BFA_541_B-379-1-1-dep-right,BFA_541_B-6-2-1-arr-right,BFA_541_B-6-2-1-dep-right
BFA_541_B-6-1-1-arr-right,BFA_541_B-6-1-1-dep-right,BFA_541_B-571-1-2-arr-right,BFA_541_B-571-1-2-dep-right
BFA_541_B-6-1-1-arr-right,BFA_541_B-6-1-1-dep-right,BFA_541_B-396-1-1-arr-right,BFA_541_B-396-1-1-dep-right
BFA_541_B-6-1-1-arr-right,BFA_541_B-6-1-1-dep-right,BFA_541_B-6-2-1-arr-right,BFA_541_B-6-2-1-dep-right
BFA_541_B-571-1-2-arr-right,BFA_541_B-571-1-2-dep-right,BFA_541_B-396-1-1-arr-right,BFA_541_B-396-1-1-dep-right
BFA_541_B-571-1-2-arr-right,BFA_541_B-571-1-2-dep-right,BFA_541_B-6-2-1-arr-right,BFA_541_B-6-2-1-dep-right
BFA_541_B-396-1-1-arr-right,BFA_541_B-396-1-1-dep-right,BFA_541_B-6-2-1-arr-right,BFA_541_B-6-2-1-dep-right
BOK_551_B-6-1-1-arr-right,BOK_551_B-6-1-1-dep-right,BOK_551_B-396-1-1-arr-right,BOK_551_B-396-1-1-dep-right
BOK_551_B-6-1-1-arr-right,BOK_551_B-6-1-1-dep-right,BOK_551_B-571-1-2-arr-right,BOK_551_B-571-1-2-dep-right
BOK_551_B-6-1-1-arr-right,BOK_551_B-6-1-1-dep-right,BOK_551_B-566-1-1-arr-right,BOK_551_B-566-1-1-dep-right
BOK_551_B-6-1-1-arr-right,BOK_551_B-6-1-1-dep-right,BOK_551_B-379-1-1-arr-right,BOK_551_B-379-1-1-dep-right
BOK_551_B-6-1-1-arr-right,BOK_551_B-6-1-1-dep-right,BOK_551_B-6-2-1-arr-right,BOK_551_B-6-2-1-dep-right
BOK_551_B-396-1-1-arr-right,BOK_551_B-396-1-1-dep-right,BOK_551_B-571-1-2-arr-right,BOK_551_B-571-1-2-dep-right
BOK_551_B-396-1-1-arr-right,BOK_551_B-396-1-1-dep-right,BOK_551_B-566-1-1-arr-right,BOK_551_B-566-1-1-dep-right
BOK_551_B-396-1-1-arr-right,BOK_551_B-396-1-1-dep-right,BOK_551_B-379-1-1-arr-right,BOK_551_B-379-1-1-dep-right
BOK_551_B-396-1-1-arr-right,BOK_551_B-396-1-1-dep-right,BOK_551_B-6-2-1-arr-right,BOK_551_B-6-2-1-dep-right
BOK_551_B-571-1-2-arr-right,BOK_551_B-571-1-2-dep-right,BOK_551_B-566-1-1-arr-right,BOK_551_B-566-1-1-dep-right
BOK_551_B-571-1-2-arr-right,BOK_551_B-571-1-2-dep-right,BOK_551_B-379-1-1-arr-right,BOK_551_B-379-1-1-dep-right
BOK_551_B-571-1-2-arr-right,BOK_551_B-571-1-2-dep-right,BOK_551_B-6-2-1-arr-right,BOK_551_B-6-2-1-dep-right
BOK_551_B-566-1-1-arr-right,BOK_551_B-566-1-1-dep-right,BOK_551_B-379-1-1-arr-right,BOK_551_B-379-1-1-dep-right
BOK_551_B-566-1-1-arr-right,BOK_551_B-566-1-1-dep-right,BOK_551_B-6-2-1-arr-right,BOK_551_B-6-2-1-dep-right
BOK_551_B-379-1-1-arr-right,BOK_551_B-379-1-1-dep-right,BOK_551_B-6-2-1-arr-right,BOK_551_B-6-2-1-dep-right
BTP_571_B-6-1-1-arr-right,BTP_571_B-6-1-1-dep-right,BTP_571_B-379-1-1-arr-right,BTP_571_B-379-1-1-dep-right
BTP_571_B-6-1-1-arr-right,BTP_571_B-6-1-1-dep-right,BTP_571_B-571-1-2-arr-right,BTP_571_B-571-1-2-dep-right
BTP_571_B-6-1-1-arr-right,BTP_571_B-6-1-1-dep-right,BTP_571_B-6-2-1-arr-right,BTP_571_B-6-2-1-dep-right
BTP_571_B-6-1-1-arr-right,BTP_571_B-6-1-1-dep-right,BTP_571_B-396-1-1-arr-right,BTP_571_B-396-1-1-dep-right
BTP_571_B-379-1-1-arr-right,BTP_571_B-379-1-1-dep-right,BTP_571_B-571-1-2-arr-right,BTP_571_B-571-1-2-dep-right
BTP_571_B-379-1-1-arr-right,BTP_571_B-379-1-1-dep-right,BTP_571_B-6-2-1-arr-right,BTP_571_B-6-2-1-dep-right
BTP_571_B-379-1-1-arr-right,BTP_571_B-379-1-1-dep-right,BTP_571_B-396-1-1-arr-right,BTP_571_B-396-1-1-dep-right
BTP_571_B-571-1-2-arr-right,BTP_571_B-571-1-2-dep-right,BTP_571_B-6-2-1-arr-right,BTP_571_B-6-2-1-dep-right
BTP_571_B-571-1-2-arr-right,BTP_571_B-571-1-2-dep-right,BTP_571_B-396-1-1-arr-right,BTP_571_B-396-1-1-dep-right
BTP_571_B-6-2-1-arr-right,BTP_571_B-6-2-1-dep-right,BTP_571_B-396-1-1-arr-right,BTP_571_B-396-1-1-dep-right
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left
BTP_572_B-379-1-1-arr-left,BTP_572_B-379-1-1-dep-left,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left,BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right
BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left,BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right
BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left,BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left
BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left,BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right
BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left,BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left
BTP_572_B-6-1-1-arr-left,BTP_572_B-6-1-1-dep-left,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right,BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right
BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right,BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left
BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right,BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right
BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right,BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left
BTP_572_B-379-1-2-arr-right,BTP_572_B-379-1-2-dep-right,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right,BTP_572_B-6-2-1-arr-left,BTP_572_B-6-2-1-dep-left
BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right,BTP_572_B-7-2-1-arr-right,BTP_572_B-7-2-1-dep-right
BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right,BTP_572_B-396-1-1-arr-left,BTP_572_B-396-1-1-dep-left
BTP_572_B-7-1-1-arr-right,BTP_572_B-7-1-1-dep-right,BTP_572_B-396-1-2-arr-right,BTP_572_B-396-1-2-dep-right
