# number of nodes: 835
# number of edges: 950
# number of fixed handles: 16
# 
start,end,type,l,u,w
BBLB_3_A-140-1-12-dep-left,BBLB_4_B-140-1-12-arr-left,driving,15.0,15.0,1
BBU_111_B-140-1-2-dep-right,henkel_5_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-140-1-21,henkel-to,165,165,2
henkel_5_S2_W_BBER_BLRD_0_S2_W_BLRD_BBER_0-140-1-21,BBU_112_B-140-1-1-arr-right,henkel-from,134,134,2
BBU_112_B-140-1-1-arr-right,BBU_112_B-140-1-1-dep-right,waiting,5,100,2
BPOP_452_B-66-1-21-dep-left,BAHU_472_B-66-1-1-arr-right,driving,21,21,2
BAHU_472_B-66-1-1-arr-right,BAHU_472_B-66-1-1-dep-right,waiting,5,33,2
BAHU_474_B-66-1-2-dep-right,BPOP_454_B-66-1-21-arr-right,driving,16,16,2
BPOP_454_B-66-1-21-arr-right,BPOP_454_B-66-1-21-dep-right,waiting,5,33,1
BPOP_455_A-66-1-21-dep-left,BPOP_452_B-66-1-21-arr-left,driving,11.0,11.0,1
BPOP_452_B-66-1-21-arr-left,BPOP_452_B-66-1-21-dep-left,waiting,5,33,1
BPOP_458_A-66-1-21-arr-right,BPOP_458_A-66-1-21-dep-left,turn,20,180,1
BPOP_458_A-66-1-21-dep-left,BPOP_455_A-66-1-21-arr-left,driving,8.0,8.0,1
BPOP_458_A-66-1-21-dep-left,BPOP_456_A-66-1-21-arr-left,driving,8.0,8.0,1
BPOP_455_A-66-1-21-arr-left,BPOP_455_A-66-1-21-dep-left,waiting,0,175,1
BPOP_456_A-66-1-21-arr-left,BPOP_456_A-66-1-21-dep-left,waiting,0,175,1
BPOP_456_A-66-1-21-dep-left,BPOP_452_B-66-1-21-arr-left,driving,11.0,11.0,1
BPOP_456_A-66-1-21-arr-right,BPOP_456_A-66-1-21-dep-left,turn,20,180,1
BPOP_456_A-66-1-21-arr-right,BPOP_456_A-66-1-21-dep-right,waiting,0,175,1
BPOP_456_A-66-1-21-dep-right,BPOP_458_A-66-1-21-arr-right,driving,8.0,8.0,1
BPOP_454_B-66-1-21-dep-right,BPOP_456_A-66-1-21-arr-right,driving,11.0,11.0,1
BAHU_472_B-66-1-1-dep-right,henkel_8_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-66-1-12,henkel-to,5,5,2
BAHU_472_B-66-1-1-dep-right,henkel_6_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-66-1-12,henkel-to,105,105,2
henkel_8_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-66-1-12,BAHU_474_B-66-1-2-arr-right,henkel-from,167,167,2
BAHU_474_B-66-1-2-arr-right,BAHU_474_B-66-1-2-dep-right,waiting,5,33,2
henkel_6_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-66-1-12,BAHU_474_B-66-1-2-arr-right,henkel-from,67,67,2
BPOP_452_B-66-2-21-dep-left,BAHU_472_B-66-2-1-arr-right,driving,21,21,2
BAHU_472_B-66-2-1-arr-right,BAHU_472_B-66-2-1-dep-right,waiting,5,33,2
BAHU_474_B-66-2-2-dep-right,BPOP_454_B-66-2-21-arr-right,driving,16,16,2
BPOP_454_B-66-2-21-arr-right,BPOP_454_B-66-2-21-dep-right,waiting,5,33,1
BPOP_455_A-66-2-21-dep-left,BPOP_452_B-66-2-21-arr-left,driving,11.0,11.0,1
BPOP_452_B-66-2-21-arr-left,BPOP_452_B-66-2-21-dep-left,waiting,5,33,1
BPOP_457_A-66-2-21-arr-right,BPOP_457_A-66-2-21-dep-left,turn,20,180,1
BPOP_457_A-66-2-21-dep-left,BPOP_455_A-66-2-21-arr-left,driving,8.0,8.0,1
BPOP_457_A-66-2-21-dep-left,BPOP_456_A-66-2-21-arr-left,driving,8.0,8.0,1
BPOP_455_A-66-2-21-arr-left,BPOP_455_A-66-2-21-dep-left,waiting,0,175,1
BPOP_456_A-66-2-21-arr-left,BPOP_456_A-66-2-21-dep-left,waiting,0,175,1
BPOP_456_A-66-2-21-dep-left,BPOP_452_B-66-2-21-arr-left,driving,11.0,11.0,1
BPOP_456_A-66-2-21-arr-right,BPOP_456_A-66-2-21-dep-left,turn,20,180,1
BPOP_456_A-66-2-21-arr-right,BPOP_456_A-66-2-21-dep-right,waiting,0,175,1
BPOP_456_A-66-2-21-dep-right,BPOP_457_A-66-2-21-arr-right,driving,8.0,8.0,1
BPOP_454_B-66-2-21-dep-right,BPOP_456_A-66-2-21-arr-right,driving,11.0,11.0,1
BAHU_472_B-66-2-1-dep-right,henkel_8_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-66-2-12,henkel-to,5,5,2
BAHU_472_B-66-2-1-dep-right,henkel_6_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-66-2-12,henkel-to,105,105,2
henkel_8_S26_VI_BTLS_BWAI_0_S26_VI_BWAI_BTLS_0-66-2-12,BAHU_474_B-66-2-2-arr-right,henkel-from,167,167,2
BAHU_474_B-66-2-2-arr-right,BAHU_474_B-66-2-2-dep-right,waiting,5,33,2
henkel_6_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-66-2-12,BAHU_474_B-66-2-2-arr-right,henkel-from,67,67,2
BARF_311_B-108-1-1-dep-right,BSNH_683_B-108-1-12-arr-left,driving,32,32,2
BARF_311_B-108-1-1-dep-right,BSNH_684_B-108-1-12-arr-right,driving,27,27,2
BSNH_683_B-108-1-12-arr-left,BSNH_683_B-108-1-12-dep-right,turn,20,180,1
BSNH_684_B-108-1-12-arr-right,BSNH_684_B-108-1-12-dep-left,turn,20,180,1
BSNH_683_B-108-1-12-dep-right,BARF_311_B-108-1-2-arr-right,driving,25,25,2
BARF_311_B-108-1-2-arr-right,BARF_311_B-108-1-2-dep-right,waiting,5,100,2
BSNH_684_B-108-1-12-dep-left,BARF_311_B-108-1-2-arr-right,driving,30,30,2
BARF_311_B-108-1-2-dep-right,henkel_7_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-108-1-21,henkel-to,87,87,2
henkel_7_S25_V_BHD_BTLS_0_S25_V_BTLS_BHD_0-108-1-21,BARF_311_B-108-1-1-arr-right,henkel-from,48,48,2
BARF_311_B-108-1-1-arr-right,BARF_311_B-108-1-1-dep-right,waiting,5,100,2
BWED_842_B-465-1-21-dep-left,BGB_723_B-465-1-1-arr-right,driving,24,24,2
BGB_723_B-465-1-1-arr-right,BGB_723_B-465-1-1-dep-right,waiting,5,29,2
BWED_841_B-465-1-21-dep-right,BGB_723_B-465-1-1-arr-right,driving,19,19,2
BGB_723_B-465-1-1-dep-right,BSAL_771_B-465-1-1-arr-right,driving,19,19,2
BSAL_771_B-465-1-1-arr-right,BSAL_771_B-465-1-1-dep-right,waiting,5,29,2
BPLA_781_B-465-1-1-arr-right,BPLA_781_B-465-1-1-dep-right,waiting,5,29,2
BSAL_771_B-465-1-1-dep-right,BPLA_781_B-465-1-1-arr-right,driving,13,13,2
BPLA_781_B-465-1-1-dep-right,BGSS_511_B-465-1-1-arr-right,driving,15,15,2
BGSS_511_B-465-1-1-arr-right,BGSS_511_B-465-1-1-dep-right,waiting,5,29,2
BGSS_511_B-465-1-1-dep-right,BLST_532_B-465-1-1-arr-left,driving,24,24,2
BGSS_511_B-465-1-1-dep-right,BLST_531_B-465-1-1-arr-right,driving,19,19,2
BLST_532_B-465-1-1-arr-left,BLST_532_B-465-1-1-dep-left,waiting,5,29,2
BLST_531_B-465-1-1-arr-right,BLST_531_B-465-1-1-dep-right,waiting,5,29,2
BLST_532_B-465-1-1-dep-left,BSTO_541_B-465-1-1-arr-right,driving,20,20,2
BSTO_541_B-465-1-1-arr-right,BSTO_541_B-465-1-1-dep-right,waiting,5,29,2
BLST_531_B-465-1-1-dep-right,BSTO_541_B-465-1-1-arr-right,driving,15,15,2
BSTO_541_B-465-1-1-dep-right,BFA_541_B-465-1-1-arr-right,driving,15,15,2
BFA_541_B-465-1-1-arr-right,BFA_541_B-465-1-1-dep-right,waiting,5,29,2
BFA_541_B-465-1-1-dep-right,BOK_551_B-465-1-1-arr-right,driving,18,18,2
BOK_551_B-465-1-1-arr-right,BOK_551_B-465-1-1-dep-right,waiting,5,29,2
BOK_551_B-465-1-1-dep-right,BTP_572_B-465-1-1-arr-left,driving,20,20,2
BOK_551_B-465-1-1-dep-right,BTP_571_B-465-1-1-arr-right,driving,15,15,2
BOK_551_B-465-1-1-dep-right,BTP_573_B-465-1-1-arr-right,driving,15,15,2
BOK_551_B-465-1-1-dep-right,BTP_574_B-465-1-1-arr-left,driving,20,20,2
BTP_572_B-465-1-1-arr-left,BTP_572_B-465-1-1-dep-left,waiting,5,22,2
BTP_571_B-465-1-1-arr-right,BTP_571_B-465-1-1-dep-right,waiting,5,22,2
BTP_573_B-465-1-1-arr-right,BTP_573_B-465-1-1-dep-right,waiting,5,22,2
BTP_574_B-465-1-1-arr-left,BTP_574_B-465-1-1-dep-left,waiting,5,22,2
BTP_572_B-465-1-1-dep-left,BPWA_3_B-465-1-1-arr-right,driving,28,28,2
BPWA_3_B-465-1-1-arr-right,BPWA_3_B-465-1-1-dep-right,waiting,5,67,2
BTP_571_B-465-1-1-dep-right,BPWA_3_B-465-1-1-arr-right,driving,23,23,2
BTP_573_B-465-1-1-dep-right,BPWA_3_B-465-1-1-arr-right,driving,23,23,2
BTP_574_B-465-1-1-dep-left,BPWA_3_B-465-1-1-arr-right,driving,28,28,2
BTP_572_B-465-1-2-arr-right,BTP_572_B-465-1-2-dep-right,waiting,5,22,2
BTP_574_B-465-1-2-arr-right,BTP_574_B-465-1-2-dep-right,waiting,5,22,2
BPWA_4_B-465-1-2-dep-right,BTP_572_B-465-1-2-arr-right,driving,22,22,2
BPWA_4_B-465-1-2-dep-right,BTP_574_B-465-1-2-arr-right,driving,22,22,2
BTP_572_B-465-1-2-dep-right,BOK_552_B-465-1-2-arr-right,driving,17,17,2
BOK_552_B-465-1-2-arr-right,BOK_552_B-465-1-2-dep-right,waiting,5,29,2
BTP_574_B-465-1-2-dep-right,BOK_552_B-465-1-2-arr-right,driving,17,17,2
BOK_552_B-465-1-2-dep-right,BFA_542_B-465-1-2-arr-right,driving,17,17,2
BFA_542_B-465-1-2-arr-right,BFA_542_B-465-1-2-dep-right,waiting,5,29,2
BFA_542_B-465-1-2-dep-right,BSTO_542_B-465-1-2-arr-right,driving,16,16,2
BSTO_542_B-465-1-2-arr-right,BSTO_542_B-465-1-2-dep-right,waiting,5,29,2
BSTO_542_B-465-1-2-dep-right,BLST_532_B-465-1-2-arr-right,driving,14,14,2
BLST_532_B-465-1-2-arr-right,BLST_532_B-465-1-2-dep-right,waiting,5,29,2
BLST_532_B-465-1-2-dep-right,BGSS_512_B-465-1-2-arr-right,driving,19,19,2
BGSS_512_B-465-1-2-arr-right,BGSS_512_B-465-1-2-dep-right,waiting,5,29,2
BGSS_512_B-465-1-2-dep-right,BPLA_782_B-465-1-2-arr-right,driving,15,15,2
BPLA_782_B-465-1-2-arr-right,BPLA_782_B-465-1-2-dep-right,waiting,5,29,2
BPLA_782_B-465-1-2-dep-right,BSAL_772_B-465-1-2-arr-right,driving,13,13,2
BPLA_782_B-465-1-2-dep-right,BSAL_771_B-465-1-2-arr-left,driving,18,18,2
BSAL_772_B-465-1-2-arr-right,BSAL_772_B-465-1-2-dep-right,waiting,5,29,2
BSAL_771_B-465-1-2-arr-left,BSAL_771_B-465-1-2-dep-left,waiting,5,29,2
BSAL_772_B-465-1-2-dep-right,BGB_722_B-465-1-2-arr-right,driving,19,19,2
BGB_722_B-465-1-2-arr-right,BGB_722_B-465-1-2-dep-right,waiting,5,29,2
BSAL_771_B-465-1-2-dep-left,BGB_722_B-465-1-2-arr-right,driving,24,24,2
BGB_722_B-465-1-2-dep-right,BWED_842_B-465-1-21-arr-right,driving,19,19,2
BGB_722_B-465-1-2-dep-right,BWED_841_B-465-1-21-arr-left,driving,24,24,2
BWED_842_B-465-1-21-arr-right,BWED_842_B-465-1-21-dep-left,turn,20,180,1
BWED_841_B-465-1-21-arr-left,BWED_841_B-465-1-21-dep-right,turn,20,180,1
BPWA_3_B-465-1-1-dep-right,henkel_18_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-465-1-12,henkel-to,64,64,2
henkel_18_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-465-1-12,BPWA_4_B-465-1-2-arr-right,henkel-from,28,28,2
BPWA_4_B-465-1-2-arr-right,BPWA_4_B-465-1-2-dep-right,waiting,5,67,2
BBLB_1_B-5-1-12-dep-left,BBLB_2_A-5-1-12-arr-right,driving,15.0,15.0,1
BBLB_1_B-5-1-12-dep-left,BBLB_3_A-5-1-12-arr-right,driving,15.0,15.0,1
BBLB_2_A-5-1-12-arr-right,BBLB_2_A-5-1-12-dep-left,turn,20,180,1
BBLB_2_A-5-1-12-dep-left,BBLB_4_B-5-1-12-arr-left,driving,15.0,15.0,1
BBLB_1_B-5-1-12-arr-right,BBLB_1_B-5-1-12-dep-left,turn,20,180,1
BBLB_4_B-5-1-12-arr-left,BBLB_4_B-5-1-12-dep-right,turn,20,180,1
BBLB_3_A-5-1-12-arr-right,BBLB_3_A-5-1-12-dep-left,turn,20,180,1
BBLB_3_A-5-1-12-dep-left,BBLB_4_B-5-1-12-arr-left,driving,15.0,15.0,1
BBLB_4_B-5-1-12-dep-right,henkel_19_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-5-1-21,henkel-to,73,73,2
henkel_19_S8_N_BBIW_BZTH_0_S8_N_BZTH_BBIW_0-5-1-21,BBLB_1_B-5-1-12-arr-right,henkel-from,47,47,2
BTP_572_B-478-1-1-arr-right,BTP_572_B-478-1-1-dep-right,waiting,5,22,2
BTP_574_B-478-1-1-arr-right,BTP_574_B-478-1-1-dep-right,waiting,5,22,2
BPWA_4_B-478-1-1-dep-right,BTP_572_B-478-1-1-arr-right,driving,22,22,2
BPWA_4_B-478-1-1-dep-right,BTP_574_B-478-1-1-arr-right,driving,22,22,2
BTP_572_B-478-1-1-dep-right,BWRS_624_B-478-1-12-arr-right,driving,25,25,2
BTP_572_B-478-1-1-dep-right,BWRS_623_B-478-1-12-arr-left,driving,30,30,2
BTP_572_B-478-1-1-dep-right,BWRS_621_B-478-1-12-arr-left,driving,30,30,2
BTP_572_B-478-1-1-dep-right,BWRS_622_B-478-1-12-arr-left,driving,30,30,2
BWRS_624_B-478-1-12-arr-right,BWRS_624_B-478-1-12-dep-left,turn,20,180,1
BWRS_623_B-478-1-12-arr-left,BWRS_623_B-478-1-12-dep-right,turn,20,180,1
BWRS_621_B-478-1-12-arr-left,BWRS_621_B-478-1-12-dep-left,waiting,5,100,1
BWRS_621_B-478-1-12-arr-left,BWRS_621_B-478-1-12-dep-right,turn,20,180,1
BWRS_622_B-478-1-12-arr-left,BWRS_622_B-478-1-12-dep-left,waiting,5,100,1
BWRS_622_B-478-1-12-arr-left,BWRS_622_B-478-1-12-dep-right,turn,20,180,1
BTP_574_B-478-1-1-dep-right,BWRS_624_B-478-1-12-arr-right,driving,25,25,2
BTP_574_B-478-1-1-dep-right,BWRS_623_B-478-1-12-arr-left,driving,30,30,2
BTP_574_B-478-1-1-dep-right,BWRS_621_B-478-1-12-arr-left,driving,30,30,2
BTP_574_B-478-1-1-dep-right,BWRS_622_B-478-1-12-arr-left,driving,30,30,2
BWRS_624_B-478-1-12-dep-left,BTP_572_B-478-1-2-arr-left,driving,25,25,2
BWRS_624_B-478-1-12-dep-left,BTP_574_B-478-1-2-arr-left,driving,25,25,2
BTP_572_B-478-1-2-arr-left,BTP_572_B-478-1-2-dep-left,waiting,5,22,2
BTP_574_B-478-1-2-arr-left,BTP_574_B-478-1-2-dep-left,waiting,5,22,2
BWRS_623_B-478-1-12-dep-right,BTP_572_B-478-1-2-arr-left,driving,30,30,2
BWRS_623_B-478-1-12-dep-right,BTP_573_B-478-1-2-arr-right,driving,25,25,2
BWRS_623_B-478-1-12-dep-right,BTP_574_B-478-1-2-arr-left,driving,30,30,2
BTP_573_B-478-1-2-arr-right,BTP_573_B-478-1-2-dep-right,waiting,5,22,2
BWRS_621_B-478-1-12-dep-right,BTP_572_B-478-1-2-arr-left,driving,30,30,2
BWRS_621_B-478-1-12-dep-right,BTP_573_B-478-1-2-arr-right,driving,25,25,2
BWRS_621_B-478-1-12-dep-right,BTP_574_B-478-1-2-arr-left,driving,30,30,2
BWRS_622_B-478-1-12-dep-right,BTP_572_B-478-1-2-arr-left,driving,30,30,2
BWRS_622_B-478-1-12-dep-right,BTP_574_B-478-1-2-arr-left,driving,30,30,2
BTP_572_B-478-1-2-dep-left,BPWA_3_B-478-1-2-arr-right,driving,28,28,2
BPWA_3_B-478-1-2-arr-right,BPWA_3_B-478-1-2-dep-right,waiting,5,67,2
BTP_573_B-478-1-2-dep-right,BPWA_3_B-478-1-2-arr-right,driving,23,23,2
BTP_574_B-478-1-2-dep-left,BPWA_3_B-478-1-2-arr-right,driving,28,28,2
BWRS_621_B-478-1-12-dep-left,BWRS_611_A-478-1-12-arr-left,driving,15.0,15.0,1
BWRS_611_A-478-1-12-arr-left,BWRS_611_A-478-1-12-dep-right,turn,20,180,1
BWRS_611_A-478-1-12-dep-right,BWRS_621_B-478-1-12-arr-right,driving,15.0,15.0,1
BWRS_611_A-478-1-12-dep-right,BWRS_622_B-478-1-12-arr-right,driving,15.0,15.0,1
BWRS_621_B-478-1-12-arr-right,BWRS_621_B-478-1-12-dep-right,waiting,5,100,1
BWRS_622_B-478-1-12-arr-right,BWRS_622_B-478-1-12-dep-right,waiting,5,100,1
BWRS_622_B-478-1-12-dep-left,BWRS_611_A-478-1-12-arr-left,driving,15.0,15.0,1
BPWA_3_B-478-1-2-dep-right,henkel_20_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-478-1-21,henkel-to,164,164,2
henkel_20_S85_NI_BGAS_BPKW_0_S85_NI_BPKW_BGAS_0-478-1-21,BPWA_4_B-478-1-1-arr-right,henkel-from,128,128,2
BPWA_4_B-478-1-1-arr-right,BPWA_4_B-478-1-1-dep-right,waiting,5,67,2
BTHF_511_B-7-1-1-dep-right,BSKR_531_B-7-1-1-arr-right,driving,18,18,2
BSKR_531_B-7-1-1-arr-right,BSKR_531_B-7-1-1-dep-right,waiting,5,25,2
BSKR_531_B-7-1-1-dep-right,BSGR_601_B-7-1-1-arr-right,driving,15,15,2
BSGR_601_B-7-1-1-arr-right,BSGR_601_B-7-1-1-dep-right,waiting,5,29,2
BIP_611_B-7-1-1-arr-right,BIP_611_B-7-1-1-dep-right,waiting,5,29,2
BSGR_601_B-7-1-1-dep-right,BIP_611_B-7-1-1-arr-right,driving,12,12,2
BIP_611_B-7-1-1-dep-right,BBUP_621_B-7-1-1-arr-right,driving,13,13,2
BBUP_621_B-7-1-1-arr-right,BBUP_621_B-7-1-1-dep-right,waiting,5,29,2
BBUP_621_B-7-1-1-dep-right,BHEI_631_B-7-1-1-arr-right,driving,16,16,2
BHEI_631_B-7-1-1-arr-right,BHEI_631_B-7-1-1-dep-right,waiting,5,29,2
BHEI_631_B-7-1-1-dep-right,BHO_701_B-7-1-1-arr-right,driving,15,15,2
BHO_701_B-7-1-1-arr-right,BHO_701_B-7-1-1-dep-right,waiting,5,29,2
BHO_701_B-7-1-1-dep-right,BHAL_711_B-7-1-1-arr-right,driving,15,15,2
BHAL_711_B-7-1-1-arr-right,BHAL_711_B-7-1-1-dep-right,waiting,5,29,2
BHAL_711_B-7-1-1-dep-right,BWKRR_801_B-7-1-1-arr-right,driving,11,11,2
BWKRR_801_B-7-1-1-arr-right,BWKRR_801_B-7-1-1-dep-right,waiting,5,29,2
BWKRR_801_B-7-1-1-dep-right,BMN_801_B-7-1-1-arr-right,driving,12,12,2
BMN_801_B-7-1-1-arr-right,BMN_801_B-7-1-1-dep-right,waiting,5,29,2
BMN_801_B-7-1-1-dep-right,BWES_811_B-7-1-1-arr-right,driving,15,15,2
BWES_811_B-7-1-1-arr-right,BWES_811_B-7-1-1-dep-right,waiting,5,29,2
BJUN_955_B-7-1-1-arr-right,BJUN_955_B-7-1-1-dep-right,waiting,5,33,2
BWES_811_B-7-1-1-dep-right,BJUN_955_B-7-1-1-arr-right,driving,24,24,2
BJUN_955_B-7-1-1-dep-right,BBEU_811_B-7-1-1-arr-right,driving,21,21,2
BBEU_811_B-7-1-1-arr-right,BBEU_811_B-7-1-1-dep-right,waiting,5,33,2
BBEU_811_B-7-1-1-dep-right,BWH_831_B-7-1-1-arr-right,driving,14,14,2
BWH_831_B-7-1-1-arr-right,BWH_831_B-7-1-1-dep-right,waiting,5,33,2
BWH_831_B-7-1-1-dep-right,BWED_841_B-7-1-1-arr-right,driving,22,22,2
BWED_841_B-7-1-1-arr-right,BWED_841_B-7-1-1-dep-right,waiting,5,29,2
BGB_723_B-7-1-1-arr-right,BGB_723_B-7-1-1-dep-right,waiting,5,29,2
BWED_841_B-7-1-1-dep-right,BGB_723_B-7-1-1-arr-right,driving,19,19,2
BGB_723_B-7-1-1-dep-right,BSAL_771_B-7-1-1-arr-right,driving,19,19,2
BSAL_771_B-7-1-1-arr-right,BSAL_771_B-7-1-1-dep-right,waiting,5,29,2
BPLA_781_B-7-1-1-arr-right,BPLA_781_B-7-1-1-dep-right,waiting,5,29,2
BSAL_771_B-7-1-1-dep-right,BPLA_781_B-7-1-1-arr-right,driving,13,13,2
BPLA_781_B-7-1-1-dep-right,BGSS_511_B-7-1-1-arr-right,driving,15,15,2
BGSS_511_B-7-1-1-arr-right,BGSS_511_B-7-1-1-dep-right,waiting,5,29,2
BGSS_511_B-7-1-1-dep-right,BLST_532_B-7-1-1-arr-left,driving,24,24,2
BGSS_511_B-7-1-1-dep-right,BLST_531_B-7-1-1-arr-right,driving,19,19,2
BLST_532_B-7-1-1-arr-left,BLST_532_B-7-1-1-dep-left,waiting,5,29,2
BLST_531_B-7-1-1-arr-right,BLST_531_B-7-1-1-dep-right,waiting,5,29,2
BLST_532_B-7-1-1-dep-left,BSTO_541_B-7-1-1-arr-right,driving,20,20,2
BSTO_541_B-7-1-1-arr-right,BSTO_541_B-7-1-1-dep-right,waiting,5,29,2
BLST_531_B-7-1-1-dep-right,BSTO_541_B-7-1-1-arr-right,driving,15,15,2
BSTO_541_B-7-1-1-dep-right,BFA_541_B-7-1-1-arr-right,driving,15,15,2
BFA_541_B-7-1-1-arr-right,BFA_541_B-7-1-1-dep-right,waiting,5,29,2
BFA_541_B-7-1-1-dep-right,BOK_551_B-7-1-1-arr-right,driving,18,18,2
BOK_551_B-7-1-1-arr-right,BOK_551_B-7-1-1-dep-right,waiting,5,29,2
BOK_551_B-7-1-1-dep-right,BTP_572_B-7-1-1-arr-left,driving,20,20,2
BOK_551_B-7-1-1-dep-right,BTP_571_B-7-1-1-arr-right,driving,15,15,2
BOK_551_B-7-1-1-dep-right,BTP_573_B-7-1-1-arr-right,driving,15,15,2
BOK_551_B-7-1-1-dep-right,BTP_574_B-7-1-1-arr-left,driving,20,20,2
BTP_572_B-7-1-1-arr-left,BTP_572_B-7-1-1-dep-left,waiting,5,22,2
BTP_571_B-7-1-1-arr-right,BTP_571_B-7-1-1-dep-right,waiting,5,22,2
BTP_573_B-7-1-1-arr-right,BTP_573_B-7-1-1-dep-right,waiting,5,22,2
BTP_574_B-7-1-1-arr-left,BTP_574_B-7-1-1-dep-left,waiting,5,22,2
BTP_572_B-7-1-1-dep-left,BSO_401_B-7-1-1-arr-right,driving,32,32,2
BSO_401_B-7-1-1-arr-right,BSO_401_B-7-1-1-dep-right,waiting,5,33,2
BTP_571_B-7-1-1-dep-right,BSO_401_B-7-1-1-arr-right,driving,27,27,2
BTP_573_B-7-1-1-dep-right,BSO_401_B-7-1-1-arr-right,driving,27,27,2
BTP_574_B-7-1-1-dep-left,BSO_401_B-7-1-1-arr-right,driving,32,32,2
BSO_401_B-7-1-1-dep-right,BNK_461_B-7-1-1-arr-right,driving,14,14,2
BNK_461_B-7-1-1-arr-right,BNK_461_B-7-1-1-dep-right,waiting,5,22,2
BHER_471_B-7-1-1-arr-right,BHER_471_B-7-1-1-dep-right,waiting,5,22,2
BNK_461_B-7-1-1-dep-right,BHER_471_B-7-1-1-arr-right,driving,12,12,2
BHER_471_B-7-1-1-dep-right,BTHF_511_B-7-1-1-arr-right,driving,33,33,2
BTHF_511_B-7-1-1-arr-right,BTHF_511_B-7-1-1-dep-right,waiting,5,25,2
BTHF_511_B-7-2-1-dep-right,BSKR_531_B-7-2-1-arr-right,driving,18,18,2
BSKR_531_B-7-2-1-arr-right,BSKR_531_B-7-2-1-dep-right,waiting,5,25,2
BSKR_531_B-7-2-1-dep-right,BSGR_601_B-7-2-1-arr-right,driving,15,15,2
BSGR_601_B-7-2-1-arr-right,BSGR_601_B-7-2-1-dep-right,waiting,5,29,2
BIP_611_B-7-2-1-arr-right,BIP_611_B-7-2-1-dep-right,waiting,5,29,2
BSGR_601_B-7-2-1-dep-right,BIP_611_B-7-2-1-arr-right,driving,12,12,2
BIP_611_B-7-2-1-dep-right,BBUP_621_B-7-2-1-arr-right,driving,13,13,2
BBUP_621_B-7-2-1-arr-right,BBUP_621_B-7-2-1-dep-right,waiting,5,29,2
BBUP_621_B-7-2-1-dep-right,BHEI_631_B-7-2-1-arr-right,driving,16,16,2
BHEI_631_B-7-2-1-arr-right,BHEI_631_B-7-2-1-dep-right,waiting,5,29,2
BHEI_631_B-7-2-1-dep-right,BHO_701_B-7-2-1-arr-right,driving,15,15,2
BHO_701_B-7-2-1-arr-right,BHO_701_B-7-2-1-dep-right,waiting,5,29,2
BHO_701_B-7-2-1-dep-right,BHAL_711_B-7-2-1-arr-right,driving,15,15,2
BHAL_711_B-7-2-1-arr-right,BHAL_711_B-7-2-1-dep-right,waiting,5,29,2
BHAL_711_B-7-2-1-dep-right,BWKRR_801_B-7-2-1-arr-right,driving,11,11,2
BWKRR_801_B-7-2-1-arr-right,BWKRR_801_B-7-2-1-dep-right,waiting,5,29,2
BWKRR_801_B-7-2-1-dep-right,BMN_801_B-7-2-1-arr-right,driving,12,12,2
BMN_801_B-7-2-1-arr-right,BMN_801_B-7-2-1-dep-right,waiting,5,29,2
BMN_801_B-7-2-1-dep-right,BWES_811_B-7-2-1-arr-right,driving,15,15,2
BWES_811_B-7-2-1-arr-right,BWES_811_B-7-2-1-dep-right,waiting,5,29,2
BJUN_955_B-7-2-1-arr-right,BJUN_955_B-7-2-1-dep-right,waiting,5,33,2
BWES_811_B-7-2-1-dep-right,BJUN_955_B-7-2-1-arr-right,driving,24,24,2
BJUN_955_B-7-2-1-dep-right,BBEU_811_B-7-2-1-arr-right,driving,21,21,2
BBEU_811_B-7-2-1-arr-right,BBEU_811_B-7-2-1-dep-right,waiting,5,33,2
BBEU_811_B-7-2-1-dep-right,BWH_831_B-7-2-1-arr-right,driving,14,14,2
BWH_831_B-7-2-1-arr-right,BWH_831_B-7-2-1-dep-right,waiting,5,33,2
BWH_831_B-7-2-1-dep-right,BWED_841_B-7-2-1-arr-right,driving,22,22,2
BWED_841_B-7-2-1-arr-right,BWED_841_B-7-2-1-dep-right,waiting,5,29,2
BGB_723_B-7-2-1-arr-right,BGB_723_B-7-2-1-dep-right,waiting,5,29,2
BWED_841_B-7-2-1-dep-right,BGB_723_B-7-2-1-arr-right,driving,19,19,2
BGB_723_B-7-2-1-dep-right,BSAL_771_B-7-2-1-arr-right,driving,19,19,2
BSAL_771_B-7-2-1-arr-right,BSAL_771_B-7-2-1-dep-right,waiting,5,29,2
BPLA_781_B-7-2-1-arr-right,BPLA_781_B-7-2-1-dep-right,waiting,5,29,2
